ID,Store_id,Store_Type,Location_Type,Region_Code,Date,Holiday,Discount,#Order,Sales
T1000001,1,S1,L3,R1,2018-01-01,1,Yes,9,7011.839999999999
T1000002,253,S4,L2,R1,2018-01-01,1,Yes,60,51789.12
T1000003,252,S3,L2,R1,2018-01-01,1,Yes,42,36868.2
T1000004,251,S2,L3,R1,2018-01-01,1,Yes,23,19715.16
T1000005,250,S2,L3,R4,2018-01-01,1,Yes,62,45614.52
T1000006,249,S1,L3,R2,2018-01-01,1,Yes,39,34211.22
T1000007,248,S1,L1,R2,2018-01-01,1,Yes,40,35352.66
T1000008,247,S1,L1,R3,2018-01-01,1,Yes,64,52650.0
T1000009,246,S3,L1,R3,2018-01-01,1,Yes,62,42633.78
T1000010,254,S4,L1,R1,2018-01-01,1,Yes,87,62572.8
T1000011,245,S4,L1,R2,2018-01-01,1,Yes,36,27468.21
T1000012,11,S4,L2,R1,2018-01-01,1,Yes,69,57590.4
T1000013,243,S4,L2,R2,2018-01-01,1,Yes,69,45563.25
T1000014,242,S4,L1,R1,2018-01-01,1,Yes,51,47322.9
T1000015,241,S1,L1,R4,2018-01-01,1,Yes,56,42889.89
T1000016,240,S3,L2,R3,2018-01-01,1,Yes,59,44319.33
T1000017,239,S3,L1,R3,2018-01-01,1,Yes,35,29781.840000000004
T1000018,238,S1,L1,R2,2018-01-01,1,Yes,29,26906.61
T1000019,237,S2,L3,R3,2018-01-01,1,Yes,55,44858.67
T1000020,244,S2,L5,R4,2018-01-01,1,Yes,46,39193.2
T1000021,236,S1,L1,R3,2018-01-01,1,Yes,36,32486.76
T1000022,255,S3,L2,R4,2018-01-01,1,Yes,63,47317.14
T1000023,256,S1,L2,R4,2018-01-01,1,Yes,78,69937.98
T1000024,273,S2,L3,R4,2018-01-01,1,Yes,42,31509.72
T1000025,272,S2,L4,R2,2018-01-01,1,Yes,48,33665.100000000006
T1000026,271,S1,L3,R2,2018-01-01,1,Yes,38,32686.08
T1000027,270,S1,L1,R2,2018-01-01,1,Yes,36,25696.5
T1000028,269,S1,L4,R1,2018-01-01,1,Yes,48,40115.7
T1000029,268,S1,L2,R1,2018-01-01,1,Yes,75,57487.56
T1000030,9,S1,L1,R1,2018-01-01,1,Yes,91,68205.15
T1000031,267,S4,L2,R1,2018-01-01,1,Yes,49,38205.600000000006
